window_id,device_id,attack_probability,anomaly_score,vulnerability_score,topology_exposure,asset_criticality,recency_score,dynamic_risk_score,risk_rank
82,DB-SERVER-01,0.0052596247,0.37934686082784996,0.28,0.28663876287626244,0.95,0.0,0.3168742080644132,3
83,DB-SERVER-01,0.010368651,0.33500196715776137,0.28,0.28663876287626244,0.95,0.0,0.3103348968409971,3
84,DB-SERVER-01,0.0023863658,0.3068558334629718,0.28,0.28663876287626244,0.95,0.0,0.3043134937066636,3
85,DB-SERVER-01,0.0109199425,0.35752614251607495,0.28,0.28663876287626244,0.95,0.0,0.3141808080242878,3
86,DB-SERVER-01,0.0052596247,0.333685264680263,0.28,0.28663876287626244,0.95,0.0,0.30926394203981533,3
87,DB-SERVER-01,0.012910029,0.33287878840905816,0.28,0.28663876287626244,0.95,0.0,0.3104045967784266,3
88,DB-SERVER-01,0.011100259,0.343201398644815,0.28,0.28663876287626244,0.95,0.0,0.3118234034441561,3
89,DB-SERVER-01,0.008811005,0.3361847658046866,0.28,0.28663876287626244,0.95,0.0,0.31027242238416003,3
90,DB-SERVER-01,0.010211421,0.353255867194319,0.28,0.28663876287626244,0.95,0.0,0.31335100854122877,3
91,DB-SERVER-01,0.0025850872,0.30182486044886025,0.28,0.28663876287626244,0.95,0.0,0.3035081184215791,3
92,DB-SERVER-01,0.012747564,0.3457270445196367,0.28,0.28663876287626244,0.95,0.0,0.31251889529149135,3
93,DB-SERVER-01,0.011094037,0.32221550551864664,0.28,0.28663876287626244,0.95,0.0,0.3083247176785232,3
94,DB-SERVER-01,0.010241316,0.3684370747373154,0.28,0.28663876287626244,0.95,0.0,0.3158861922577537,3
95,DB-SERVER-01,0.012747564,0.3551022326455996,0.28,0.28663876287626244,0.95,0.0,0.31408142664581845,3
96,DB-SERVER-01,0.0033803019,0.2926222015192081,0.28,0.5633474523171007,0.95,0.0,0.34822499265721174,3
82,EXT-ATTACKER-01,0.003214641,0.03227571207186845,0.3,0.0,0.3,0.1937984496124031,0.13821480046820217,14
83,EXT-ATTACKER-01,0.003214641,0.015081727783114262,0.3,0.0,0.3,0.2248062015503876,0.1405170950764072,13
84,EXT-ATTACKER-01,0.003214641,0.015081727783114262,0.3,0.0,0.3,0.2222222222222222,0.1400864318550463,14
85,EXT-ATTACKER-01,0.0034546247,0.01415735142482889,0.3,0.0,0.3,0.17829457364341086,0.13265109164331157,16
86,EXT-ATTACKER-01,0.003214641,0.015081727783114262,0.3,0.0,0.3,0.20930232558139536,0.13793311574824182,15
87,EXT-ATTACKER-01,0.003214641,0.02452416337848376,0.3,0.0,0.3,0.19638242894056848,0.13735353890733226,15
88,EXT-ATTACKER-01,0.003214641,0.006464503845657236,0.3,0.0,0.3,0.18087855297157623,0.1317596163236958,16
89,EXT-ATTACKER-01,0.003214641,0.02452416337848376,0.3,0.0,0.3,0.20155038759689922,0.13821486535005406,14
90,EXT-ATTACKER-01,0.003214641,0.02452416337848376,0.3,0.0,0.3,0.1937984496124031,0.1369228756859714,15
91,EXT-ATTACKER-01,0.003214641,0.015081727783114262,0.3,0.0,0.3,0.2222222222222222,0.1400864318550463,13
92,EXT-ATTACKER-01,0.003214641,0.015081727783114262,0.3,0.0,0.3,0.21963824289405684,0.1396557686336854,13
93,EXT-ATTACKER-01,0.003214641,0.02452416337848376,0.3,0.0,0.3,0.19896640826873385,0.13778420212869316,13
94,EXT-ATTACKER-01,0.003214641,0.006464503845657236,0.3,0.0,0.3,0.18863049095607234,0.1330516059877785,15
95,EXT-ATTACKER-01,0.003214641,0.0007694693293838175,0.3,0.0,0.3,0.16795865633074936,0.12865712779751243,17
96,EXT-ATTACKER-01,0.0033316778,0.27069537403824295,0.3,0.0,0.3,0.0,0.14567117533773574,15
82,EXT-ATTACKER-02,0.003214641,0.0007694693293838175,0.3,0.0,0.3,0.16020671834625322,0.12736513813342973,17
83,EXT-ATTACKER-02,0.003214641,0.006464503845657236,0.3,0.0,0.3,0.1834625322997416,0.1321902795450567,16
84,EXT-ATTACKER-02,0.003214641,0.02452416337848376,0.3,0.0,0.3,0.1937984496124031,0.1369228756859714,15
85,EXT-ATTACKER-02,0.003214641,0.0007694693293838175,0.3,0.0,0.3,0.17054263565891473,0.12908779101887333,17
86,EXT-ATTACKER-02,0.003214641,0.02452416337848376,0.3,0.0,0.3,0.20155038759689922,0.13821486535005406,14
87,EXT-ATTACKER-02,0.003214641,0.006464503845657236,0.3,0.0,0.3,0.18087855297157623,0.1317596163236958,16
88,EXT-ATTACKER-02,0.003214641,0.0007694693293838175,0.3,0.0,0.3,0.17571059431524547,0.1299491174615951,17
89,EXT-ATTACKER-02,0.003214641,0.015081727783114262,0.3,0.0,0.3,0.2351421188630491,0.14223974796185077,13
90,EXT-ATTACKER-02,0.003214641,0.015081727783114262,0.3,0.0,0.3,0.21188630490956073,0.13836377896960272,13
91,EXT-ATTACKER-02,0.003214641,0.01415735142482889,0.3,0.0,0.3,0.17829457364341086,0.1326110943655302,16
92,EXT-ATTACKER-02,0.003214641,0.015081727783114262,0.3,0.0,0.3,0.21188630490956073,0.13836377896960272,14
93,EXT-ATTACKER-02,0.003214641,0.02452416337848376,0.3,0.0,0.3,0.19638242894056848,0.13735353890733226,15
94,EXT-ATTACKER-02,0.003214641,0.015081727783114262,0.3,0.0,0.3,0.2248062015503876,0.1405170950764072,13
95,EXT-ATTACKER-02,0.003214641,0.01415735142482889,0.3,0.0,0.3,0.1834625322997416,0.13347242080825197,14
96,EXT-ATTACKER-02,0.00362141,0.0814390654954935,0.3,0.0,0.3,0.002583979328165375,0.11460740919488624,17
82,EXT-ATTACKER-03,0.003214641,0.006464503845657236,0.3,0.0,0.3,0.18863049095607234,0.1330516059877785,16
83,EXT-ATTACKER-03,0.003214641,0.015081727783114262,0.3,0.0,0.3,0.20930232558139536,0.13793311574824182,15
84,EXT-ATTACKER-03,0.0036960754,0.0,0.3,0.0,0.3,0.14470284237726097,0.12473315300297995,17
85,EXT-ATTACKER-03,0.003214641,0.02452416337848376,0.3,0.0,0.3,0.19638242894056848,0.13735353890733226,13
86,EXT-ATTACKER-03,0.003214641,0.015081727783114262,0.3,0.0,0.3,0.21963824289405684,0.1396557686336854,13
87,EXT-ATTACKER-03,0.003214641,0.02452416337848376,0.3,0.0,0.3,0.20155038759689922,0.13821486535005406,14
88,EXT-ATTACKER-03,0.003214641,0.02452416337848376,0.3,0.0,0.3,0.20155038759689922,0.13821486535005406,14
89,EXT-ATTACKER-03,0.0034546247,0.008443805769351784,0.3,0.0,0.3,0.15503875968992248,0.1278228650418173,17
90,EXT-ATTACKER-03,0.003214641,0.020770608326855722,0.3,0.0,0.3,0.2041343669250646,0.13801993606281027,14
91,EXT-ATTACKER-03,0.003214641,0.006464503845657236,0.3,0.0,0.3,0.17829457364341086,0.1313289531023349,17
92,EXT-ATTACKER-03,0.003214641,0.0007694693293838175,0.3,0.0,0.3,0.1731266149870801,0.12951845424023423,16
93,EXT-ATTACKER-03,0.003214641,0.006464503845657236,0.3,0.0,0.3,0.18863049095607234,0.1330516059877785,16
